code1,name1,codename1,code2,name2,codename2,mtname,mtnum,L
0784,#N/A,#N/A,J040,美留和西,BRW,ATS,4,1
J055,飽別川上流,AGJ,J057,雌阿寒温泉南２,MO2,MEA,5,2
J056,ポンマチ南２,PMM,H051,西山,NSY,MEA,5,3
J056,ポンマチ南２,PMM,J055,飽別川上流,AGJ,MEA,5,4
J056,ポンマチ南２,PMM,J057,雌阿寒温泉南２,MO2,MEA,5,5
J081,望岳台,BGD,H083,磯部跡,ISA,TOK,8,6
J081,望岳台,BGD,J086,翁温泉,TDO,TOK,8,7
J081,望岳台,BGD,J088,湯の滝,YNT,TOK,8,8
J086,翁温泉,TDO,J088,湯の滝,YNT,TOK,8,9
0523,#N/A,#N/A,J105,南西山麓,SWR,TAR,10,10
J103,北山腹,NSP,J106,東山麓,ESR,TAR,10,11
J104,唐沢,KRS,J103,北山腹,NSP,TAR,10,12
J104,唐沢,KRS,J105,南西山麓,SWR,TAR,10,13
J105,南西山麓,SWR,J103,北山腹,NSP,TAR,10,14
J130,南西外輪,NSG,J133,虻田泉北,ATS,USU,13,15
J130,南西外輪,NSG,J134,昭和新山北東,SNE,USU,13,16
J133,虻田泉北,ATS,J134,昭和新山北東,SNE,USU,13,17
0528,#N/A,#N/A,J163,南山腹,MSP,HKM,16,18
J161,押出沢,ODS,J162,東山腹,HSP,HKM,16,19
J161,押出沢,ODS,J163,南山腹,MSP,HKM,16,20
J162,東山腹,HSP,J163,南山腹,MSP,HKM,16,21
J212,駒込深沢,KKF,J213,南荒川山,MAK,0,21,22
J214,深持,FKM,J212,駒込深沢,KKF,0,21,23
J214,深持,FKM,J213,南荒川山,MAK,0,21,24
J310,坊平,BDR,J311,前川,MEK,ZAO,31,25
J322,一切経山南山腹,ISK,J327,浄土平,JDD,AZM,32,26
J322,一切経山南山腹,ISK,J328,兎平,USD,AZM,32,27
U320,#N/A,#N/A,J327,浄土平,JDD,AZM,32,28
J322,一切経山南山腹,ISK,J326,幕川温泉,MKK,AZM,32,29
J322,一切経山南山腹,ISK,J328,兎平,USD,AZM,32,30
J327,浄土平,JDD,J328,兎平,USD,AZM,32,31
J328,兎平,USD,J322,一切経山南山腹,ISK,AZM,32,32
J329,砥石山,TOI,J327,浄土平,JDD,AZM,32,33
U320,#N/A,#N/A,J327,浄土平,JDD,AZM,32,34
U320,#N/A,#N/A,J328,兎平,USD,AZM,32,35
J326,幕川温泉,MKK,J324,板谷,ITY,AZM,32,36
J326,幕川温泉,MKK,J329,砥石山,TOI,AZM,32,37
J326,幕川温泉,MKK,J331,岳,DAK,ADT,33,38
J326,幕川温泉,MKK,J333,母成２,BN2,ADT,33,39
J331,岳,DAK,J333,母成２,BN2,ADT,33,40
J345,裏磐梯高原,OBD,J346,大道東,OMH,BND,34,41
J346,大道東,OMH,J347,西磐梯２,NB2,BND,34,42
J370,湯本,YMT,J371,峠茶屋,TTY,NAS,37,43
